Time,LogPrice,Variance,Price
0.000000,4.605170,0.090000,100.000000
0.003968,4.601054,0.088846,99.589197
0.007937,4.605742,0.083465,100.057184
0.011905,4.573522,0.093930,96.884735
0.015873,4.574701,0.104851,96.999049
0.019841,4.564939,0.104404,96.056736
0.023810,4.533250,0.105961,93.060496
0.027778,4.529109,0.105726,92.675963
0.031746,4.522413,0.110016,92.057486
0.035714,4.523057,0.111295,92.116801
0.039683,4.504166,0.105692,90.392933
0.043651,4.512322,0.100743,91.133153
0.047619,4.505188,0.090026,90.485351
0.051587,4.522611,0.083327,92.075661
0.055556,4.520285,0.085461,91.861752
0.059524,4.536092,0.085040,93.325366
0.063492,4.532879,0.085343,93.026028
0.067460,4.525225,0.091557,92.316669
0.071429,4.544172,0.088315,94.082520
0.075397,4.563896,0.088595,95.956558
0.079365,4.558930,0.094617,95.481283
0.083333,4.553813,0.096606,94.993976
0.087302,4.571369,0.092956,96.676381
0.091270,4.559130,0.100587,95.500330
0.095238,4.594398,0.088872,98.928534
0.099206,4.580883,0.099296,97.600508
0.103175,4.564530,0.105362,96.017415
0.107143,4.557320,0.106223,95.327631
0.111111,4.531897,0.114316,92.934729
0.115079,4.541656,0.120168,93.846108
0.119048,4.499729,0.125493,89.992732
0.123016,4.491566,0.127779,89.261144
0.126984,4.508130,0.125043,90.751993
0.130952,4.506739,0.118207,90.625845
0.134921,4.503138,0.125984,90.300047
0.138889,4.491300,0.129002,89.237408
0.142857,4.480173,0.137420,88.249924
0.146825,4.462762,0.138517,86.726679
0.150794,4.451519,0.139483,85.757142
0.154762,4.449144,0.137155,85.553649
0.158730,4.446039,0.132215,85.288417
0.162698,4.459116,0.136593,86.411103
0.166667,4.455150,0.130650,86.069099
0.170635,4.466485,0.133923,87.050174
0.174603,4.452126,0.133762,85.809219
0.178571,4.461548,0.130364,86.621456
0.182540,4.436428,0.131717,84.472628
0.186508,4.462469,0.131492,86.701274
0.190476,4.496950,0.120555,89.743006
0.194444,4.521154,0.114018,91.941616
0.198413,4.528345,0.112805,92.605212
0.202381,4.516943,0.121798,91.555275
0.206349,4.501739,0.126398,90.173817
0.210317,4.522107,0.117652,92.029273
0.214286,4.527468,0.118242,92.524030
0.218254,4.518150,0.116422,91.665871
0.222222,4.537769,0.104347,93.482029
0.226190,4.531466,0.108524,92.894607
0.230159,4.515194,0.113894,91.395339
0.234127,4.562810,0.103572,95.852442
0.238095,4.564967,0.103282,96.059378
0.242063,4.555362,0.108378,95.141229
0.246032,4.595569,0.100684,99.044509
0.250000,4.598041,0.104017,99.289576
0.253968,4.605557,0.105412,100.038725
0.257937,4.608312,0.103277,100.314702
0.261905,4.620550,0.104781,101.549883
0.265873,4.623808,0.102535,101.881283
0.269841,4.598666,0.106692,99.351662
0.273810,4.606791,0.103683,100.162222
0.277778,4.588783,0.109458,98.374659
0.281746,4.647209,0.095913,104.293541
0.285714,4.655161,0.086194,105.126179
0.289683,4.640410,0.090265,103.586775
0.293651,4.640132,0.090629,103.558063
0.297619,4.633718,0.087034,102.895952
0.301587,4.626224,0.097222,102.127724
0.305556,4.652074,0.086794,104.802081
0.309524,4.640581,0.091188,103.604504
0.313492,4.641706,0.089670,103.721163
0.317460,4.636187,0.092425,103.150259
0.321429,4.620067,0.093587,101.500818
0.325397,4.616205,0.094948,101.109566
0.329365,4.591495,0.095269,98.641787
0.333333,4.593247,0.096940,98.814731
0.337302,4.592222,0.091591,98.713536
0.341270,4.591579,0.094592,98.650110
0.345238,4.602276,0.087855,99.710984
0.349206,4.595985,0.091568,99.085725
0.353175,4.582084,0.090221,97.717846
0.357143,4.563485,0.085792,95.917217
0.361111,4.584438,0.080002,97.948122
0.365079,4.587901,0.082811,98.287904
0.369048,4.578870,0.086875,97.404219
0.373016,4.559659,0.083634,95.550922
0.376984,4.578590,0.085078,97.376988
0.380952,4.573826,0.085950,96.914187
0.384921,4.584286,0.085462,97.933231
0.388889,4.587060,0.080604,98.205233
0.392857,4.602544,0.083979,99.737696
0.396825,4.603398,0.084922,99.822924
0.400794,4.548171,0.101014,94.459475
0.404762,4.571320,0.102997,96.671644
0.408730,4.562310,0.103065,95.804566
0.412698,4.565191,0.107968,96.080965
0.416667,4.557527,0.107848,95.347370
0.420635,4.601051,0.098181,99.588897
0.424603,4.583785,0.098317,97.884202
0.428571,4.588074,0.099033,98.304957
0.432540,4.601716,0.097008,99.655204
0.436508,4.595274,0.096964,99.015267
0.440476,4.601981,0.092689,99.681575
0.444444,4.630895,0.090772,102.605878
0.448413,4.624534,0.090825,101.955220
0.452381,4.613712,0.093367,100.857822
0.456349,4.636113,0.094166,103.142690
0.460317,4.667686,0.092628,106.451129
0.464286,4.667971,0.094580,106.481494
0.468254,4.673012,0.096264,107.019617
0.472222,4.679069,0.090663,107.669812
0.476190,4.669515,0.090729,106.646000
0.480159,4.647943,0.089326,104.370046
0.484127,4.624496,0.098184,101.951421
0.488095,4.645575,0.085243,104.123260
0.492063,4.661565,0.083491,105.801495
0.496032,4.658192,0.081337,105.445233
0.500000,4.686718,0.078218,108.496507
0.503968,4.661186,0.083458,105.761400
0.507937,4.652456,0.089763,104.842202
0.511905,4.644810,0.100386,104.043574
0.515873,4.640571,0.098930,103.603516
0.519841,4.628737,0.097942,102.384664
0.523810,4.624197,0.100546,101.920919
0.527778,4.616969,0.104385,101.186831
0.531746,4.613060,0.102835,100.792139
0.535714,4.604417,0.102761,99.924748
0.539683,4.618536,0.096505,101.345521
0.543651,4.598788,0.094359,99.363793
0.547619,4.586912,0.093381,98.190775
0.551587,4.615428,0.088032,101.031014
0.555556,4.619580,0.081132,101.451446
0.559524,4.617440,0.082643,101.234502
0.563492,4.614231,0.079049,100.910154
0.567460,4.623544,0.073226,101.854381
0.571429,4.631311,0.076007,102.648559
0.575397,4.630728,0.077115,102.588716
0.579365,4.645483,0.075513,104.113655
0.583333,4.619288,0.082682,101.421773
0.587302,4.631282,0.076916,102.645522
0.591270,4.632396,0.082372,102.759957
0.595238,4.617999,0.083037,101.291138
0.599206,4.658266,0.075061,105.453094
0.603175,4.645913,0.076954,104.158462
0.607143,4.634090,0.072366,102.934167
0.611111,4.659607,0.068051,105.594611
0.615079,4.643127,0.071252,103.868664
0.619048,4.634734,0.074850,103.000551
0.623016,4.618683,0.078174,101.360485
0.626984,4.648074,0.079734,104.383776
0.630952,4.631461,0.086405,102.663915
0.634921,4.628369,0.082539,102.347022
0.638889,4.629784,0.079898,102.491954
0.642857,4.598235,0.081336,99.308855
0.646825,4.604474,0.078181,99.930384
0.650794,4.583122,0.080011,97.819302
0.654762,4.560612,0.083187,95.641986
0.658730,4.554853,0.086557,95.092741
0.662698,4.582716,0.077028,97.779579
0.666667,4.599891,0.072884,99.473455
0.670635,4.556828,0.085891,95.280762
0.674603,4.551388,0.081936,94.763870
0.678571,4.581749,0.075207,97.685101
0.682540,4.564126,0.083484,95.978667
0.686508,4.553214,0.095966,94.937088
0.690476,4.556667,0.104679,95.265450
0.694444,4.545187,0.106742,94.178021
0.698413,4.517426,0.114375,91.599563
0.702381,4.533465,0.108647,93.080495
0.706349,4.535979,0.107552,93.314844
0.710317,4.529600,0.109724,92.721496
0.714286,4.550453,0.111756,94.675274
0.718254,4.551726,0.123130,94.795847
0.722222,4.513910,0.126706,91.277985
0.726190,4.534257,0.122073,93.154262
0.730159,4.530971,0.116864,92.848712
0.734127,4.519480,0.123063,91.787814
