Time,LogPrice,Variance,Price
0.000000,4.605170,0.090000,100.000000
0.003968,4.571978,0.094560,96.735228
0.007937,4.545687,0.094108,94.225124
0.011905,4.536829,0.101049,93.394138
0.015873,4.544725,0.101569,94.134570
0.019841,4.531415,0.096020,92.889906
0.023810,4.522851,0.090352,92.097770
0.027778,4.537045,0.081095,93.414359
0.031746,4.523068,0.090883,92.117764
0.035714,4.488250,0.096902,88.965638
0.039683,4.548611,0.085475,94.501094
0.043651,4.582228,0.080185,97.731940
0.047619,4.586673,0.075052,98.167331
0.051587,4.594434,0.071082,98.932152
0.055556,4.605117,0.073922,99.994662
0.059524,4.606685,0.077041,100.151638
0.063492,4.654264,0.074068,105.031906
0.067460,4.678390,0.071846,107.596742
0.071429,4.667084,0.074082,106.387053
0.075397,4.680822,0.065087,107.858668
0.079365,4.673567,0.060069,107.079056
0.083333,4.661113,0.069552,105.753668
0.087302,4.673096,0.064111,107.028560
0.091270,4.672485,0.069270,106.963258
0.095238,4.671716,0.069242,106.880953
0.099206,4.675573,0.070366,107.294069
0.103175,4.701235,0.065741,110.083051
0.107143,4.670129,0.072556,106.711518
0.111111,4.670981,0.073118,106.802425
0.115079,4.652492,0.082075,104.845973
0.119048,4.663100,0.079696,105.964036
0.123016,4.666650,0.077087,106.340880
0.126984,4.644508,0.081129,104.012203
0.130952,4.632649,0.085184,102.785977
0.134921,4.643167,0.083773,103.872819
0.138889,4.643641,0.088123,103.922089
0.142857,4.665391,0.078832,106.207153
0.146825,4.642096,0.083781,103.761590
0.150794,4.626886,0.086583,102.195287
0.154762,4.606142,0.085366,100.097180
0.158730,4.630974,0.080130,102.613911
0.162698,4.619834,0.084097,101.477154
0.166667,4.623906,0.084739,101.891216
0.170635,4.632856,0.085811,102.807228
0.174603,4.605710,0.092569,100.054029
0.178571,4.600541,0.083206,99.538174
0.182540,4.642118,0.076545,103.763870
0.186508,4.621796,0.076164,101.676498
0.190476,4.624090,0.077654,101.909978
0.194444,4.611016,0.077615,100.586305
0.198413,4.582615,0.079644,97.769749
0.202381,4.595822,0.077397,99.069565
0.206349,4.572684,0.088463,96.803572
0.210317,4.581813,0.085487,97.691359
0.214286,4.600760,0.081935,99.559998
0.218254,4.591943,0.083547,98.686019
0.222222,4.584365,0.092745,97.940961
0.226190,4.552227,0.096879,94.843425
0.230159,4.500456,0.105307,90.058178
0.234127,4.509595,0.095080,90.884974
0.238095,4.499795,0.088708,89.998651
0.242063,4.521404,0.084671,91.964643
0.246032,4.547225,0.071501,94.370188
0.250000,4.510672,0.074842,90.982918
